solvent_smiles,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_aldehyde,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_priamide,fr_pyridine,fr_sulfide,fr_sulfone,fr_thiophene,fr_urea
CC(Cl)(Cl)Cl,6.520833333333334,6.520833333333334,2.1458333333333326,-2.5162037037037037,0.44517055677341283,23.4,133.40500000000003,130.381,131.930033136,32,0.18738218534988657,-0.08401345114285742,0.18738218534988657,0.08401345114285742,1.6,1.8,1.8,1.253297578463043,4.020391543176799,67.50977500432694,7.0,5.133893419027682,4.4016802570830444,3.25,2.3169467095138407,1.9508401285415227,0.49775906904263456,2.7789914928421897,0.0,0.0,0.0,0.0,0.8699999999999999,21.30605883387173,2.24774250890826,1.5453875784214643,52.99736160655306,50.22890332337463,0.0,0.0,3.792535935529771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.802819670697545,6.851892117295679,4.1122756685106605,0.0,4.1122756685106605,34.802819670697545,0.0,0.0,0.0,10.64442805282545,0.0,0.0,0.0,0.0,0.0,0.0,34.802819670697545,3.792535935529771,0.0,0.0,10.964167785806339,0.0,0.0,0.0,0.0,10.64442805282545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.915095339208214,17.41666666666667,14.932870370370367,0.0,0.0,0.0,0.0,0.0,0.0,-2.5162037037037037,0.0,1.0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.376500000000001,25.963999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)C(=O)N(C)C,11.841944444444445,11.841944444444445,0.7234722222222225,-3.5306712962962976,0.4441296979108746,37.0,116.16399999999993,104.06799999999998,116.094963004,48,0.31845467476024386,-0.3307910491164176,0.3307910491164176,0.31845467476024386,1.25,1.625,1.875,1.8754167614757669,5.885641816036448,298.0048715011953,16.732050807568875,15.80267548146378,3.802675481463779,8.398717474235543,7.545764931731806,1.5457649317318054,0.9533945790849923,0.9533945790849923,0.38257418583505537,0.38257418583505537,0.09999999999999999,0.09999999999999999,-0.73,3600.8001820334725,0.8562338593780753,2.5461134562213323,1.8180153406908606,66.73985492788027,9.799819461700956,0.0,0.0,0.0,0.0,6.031114512338072,0.0,4.794537184071822,0.0,0.0,0.0,0.0,44.35241027517165,0.0,21.24363985811446,6.031114512338072,0.0,9.799819461700956,0.0,0.0,27.903307601128983,0.0,0.0,0.0,4.794537184071822,0.0,0.0,43.73424157516801,0.0,0.0,16.44910267404264,0.0,0.0,0.0,23.550000000000004,43.73424157516801,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.44910267404264,83.54250000000002,0.0,10.395000000000001,0.0,0.0,0.0,-2.148148148148149,0.0,-14.122685185185187,0.0,0.8,8,0,3,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0.22960000000000003,32.76999999999998,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CC(Cl)Cl,6.551697530864198,6.551697530864198,2.3680555555555554,-2.6149691358024687,0.40598289011150185,29.5,98.95999999999998,94.928,97.969005488,26,0.10458917262570656,-0.10570628923282722,0.10570628923282722,0.10458917262570656,2.25,2.5,2.5,1.253297578463043,4.020391543176799,67.01955000865388,7.0,5.755928946018455,3.267786838055363,3.25,2.6279644730092273,1.3838934190276817,0.260410807933185,1.2098038523709838,0.0,0.0,0.0,0.0,0.58,21.30605883387173,1.021628782868401,1.8593296089385476,19.145992865636153,41.33060759666077,0.0,4.8123213294517395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,0.0,6.851892117295679,4.1122756685106605,1.3707585561702202,5.483034224680881,23.20187978046503,0.0,0.0,0.0,11.664213446747418,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,4.8123213294517395,0.0,0.0,12.334926341976558,0.0,0.0,0.0,0.0,11.664213446747418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.68491400514591,25.94753086419753,9.757716049382715,-2.3680555555555554,0.0,0.0,0.0,0.0,0.0,-2.6149691358024687,0.0,1.0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1.81,21.167999999999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C=C(Cl)Cl,6.314814814814815,6.314814814814815,0.2962962962962956,-0.5432098765432098,0.4327983643519247,12.5,96.94399999999999,94.928,95.953355424,24,0.09918403887268369,-0.07155530834151903,0.09918403887268369,0.07155530834151903,2.0,2.25,2.25,1.3609640474436813,3.675948764555208,59.617270614347476,5.1547005383792515,3.7559289460184546,3.267786838055363,2.6427344100918364,1.6279644730092273,1.3838934190276817,0.260410807933185,1.2098038523709838,0.0,0.0,0.0,0.0,0.31999999999999995,13.609640474436812,1.6824286279608798,1.621204819277109,39.476250000000036,37.831063564140884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7329187424669,0.0,0.0,7.232985286498368,2.7415171123404405,23.20187978046503,0.0,0.0,0.0,0.0,0.0,11.022507136159795,0.0,0.0,0.0,0.0,23.20187978046503,0.0,0.0,0.0,2.7415171123404405,11.022507136159795,0.0,0.0,0.0,6.531038962001867,0.0,4.491468174157927,0.0,0.0,0.0,0.0,0.0,0.0,25.94339689280547,12.333333333333334,9.76543209876543,0.0,0.0,0.0,0.0,0.0,0.0,-0.5432098765432098,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.9352,20.845999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCCN,6.875,6.875,0.5108333333333333,-3.03125,0.4034955207762654,45.5,60.100000000000016,52.035999999999994,60.06874825599999,26,0.1184330896823909,-0.3292161911466984,0.3292161911466984,0.1184330896823909,1.75,2.25,2.5,1.859757594929931,4.749241290292078,135.13685006057713,10.154700538379252,9.894427190999917,1.8944271909999157,5.136751345948129,4.48606797749979,0.6972135954999579,0.22360679774997896,0.22360679774997896,0.049999999999999996,0.049999999999999996,0.0,0.0,-0.08,202.71357784736247,0.28028928336620645,2.92,1.9199999999999995,37.25596506654744,11.439433951452546,5.6473683133128025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.47675359331277,0.0,11.130402537993684,0.0,0.0,0.0,11.439433951452546,0.0,12.99371936863189,0.0,0.0,11.439433951452546,0.0,0.0,0.0,12.99371936863189,0.0,0.0,5.483034224680881,0.0,5.6473683133128025,0.0,52.04,24.433153320084436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.130402537993684,53.584166666666675,0.0,0.0,0.0,-1.0216666666666665,0.0,0.0,0.0,-6.0625,0.0,1.0,4,4,2,0,0,0,0,0,0,2,2,2,3,0,0,0,0,-1.0962,18.108800000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clc1ccccc1Cl,7.215185185185185,7.215185185185185,0.1364197530864193,-0.36629629629629634,0.528586338832196,16.25,147.00400000000002,142.97199999999998,145.969005488,42,0.06389501363191799,-0.08271319546492409,0.08271319546492409,0.06389501363191799,1.125,1.5,1.875,2.0815718239857546,3.6035674514745475,231.81286524684438,9.464101615137753,7.755928946018455,5.267786838055363,5.464101615137755,3.8779644730092273,2.6338934190276815,1.127964473009227,1.8838934190276817,0.5996965222188992,1.2633752809424124,0.2819911182523068,0.47097335475692037,-0.20000000000000007,416.3143647971509,2.590290146509623,2.3818408996251557,1.1456790123456788,63.657817573931574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.286717195791624,12.08483741532659,0.0,15.52830085216353,5.483034224680881,23.20187978046503,0.0,0.0,0.0,0.0,0.0,34.21494145813583,0.0,0.0,0.0,0.0,23.20187978046503,0.0,0.0,0.0,5.483034224680881,24.16967483065318,10.045266627482652,0.0,0.0,0.0,0.0,34.21494145813583,0.0,0.0,0.0,0.0,0.0,0.0,28.68491400514591,28.79901234567901,11.034814814814812,0.0,-0.2728395061728386,0.0,0.0,-1.3387654320987643,0.0,0.0,0.0,0.0,8,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,2.9934000000000003,36.46200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClCCCl,6.508487654320987,6.508487654320987,2.491512345679012,-2.4915123456790123,0.4363042365257152,29.5,98.95999999999998,94.928,97.969005488,26,0.044767113650358265,-0.12542343074881615,0.12542343074881615,0.044767113650358265,1.5,1.75,1.75,1.253297578463043,4.020391543176799,67.01955000865388,7.0,5.755928946018455,3.267786838055363,3.25,2.6279644730092273,1.3838934190276817,0.1889822365046136,0.5669467095138409,0.035714285714285705,0.32142857142857145,0.0,0.0,0.58,21.30605883387173,1.021628782868401,3.5799999999999996,2.58,41.33060759666076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,0.0,0.0,17.147247671428296,0.0,5.483034224680881,23.20187978046503,0.0,0.0,0.0,0.0,11.664213446747418,0.0,0.0,0.0,0.0,0.0,23.20187978046503,11.664213446747418,0.0,0.0,5.483034224680881,0.0,0.0,0.0,0.0,11.664213446747418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.68491400514591,26.03395061728395,9.671296296296294,0.0,0.0,0.0,-4.983024691358024,0.0,0.0,0.0,0.0,1.0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1.464,21.439999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCCOC,6.998958333333333,6.998958333333333,3.2133418367346938,-3.423958333333334,0.4632611164076684,42.666666666666664,90.12199999999994,80.04199999999999,90.06807956,38,0.06960196782699893,-0.3822980177166475,0.3822980177166475,0.06960196782699893,1.5,2.0,2.3333333333333335,1.7184131282169037,4.848040907227931,212.1840343858093,13.414213562373096,12.816496580927726,2.8164965809277263,6.664213562373095,6.066496580927726,1.0664965809277263,0.4082482904638631,0.4082482904638631,0.14372873928263244,0.14372873928263244,0.04166666666666668,0.04166666666666668,-0.08,663.3074674917249,0.6437455886263826,4.920000000000001,3.9200000000000004,52.1108728317113,9.473725907600098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.075904917765177,26.825556047534775,23.181311469302294,0.0,0.0,0.0,0.0,0.0,27.193875403597755,0.0,0.0,0.0,0.0,0.0,0.0,27.193875403597755,9.473725907600098,0.0,13.7075855617022,0.0,0.0,0.0,18.46,27.193875403597755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.473725907600098,13.7075855617022,75.27460034013605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.847916666666667,-6.426683673469389,1.0,6,0,2,0,0,0,0,0,0,2,0,2,5,0,0,0,0,0.2792,23.751999999999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCCO,6.614583333333334,6.614583333333334,2.921875,-2.921875,0.40752789066641704,36.0,62.06800000000002,56.02,62.036779432,26,0.2101554188611067,-0.3939905415754596,0.3939905415754596,0.2101554188611067,1.75,2.25,2.5,1.876530097501744,4.2817567617094126,98.3154437621596,8.414213562373096,7.816496580927726,1.8164965809277263,4.371320343559643,3.4747448713915894,0.6582482904638631,0.20412414523193154,0.20412414523193154,0.04166666666666668,0.04166666666666668,0.0,0.0,-0.08,99.45609516759244,0.4200703814675541,2.92,1.9199999999999995,33.29582416387954,10.217616382214425,0.0,0.0,2.8623993144652684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.601004710513457,15.700650606895303,0.0,2.8623993144652684,0.0,0.0,0.0,13.117970485832577,0.0,0.0,0.0,0.0,0.0,0.0,26.197986182512274,0.0,0.0,5.483034224680881,0.0,0.0,0.0,40.46,13.117970485832577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.217616382214425,8.34543353914615,38.63041666666667,0.0,0.0,6.713333333333333,0.0,0.0,0.0,0.0,-5.84375,0.0,1.0,4,2,2,0,0,0,0,0,0,2,2,2,3,0,0,0,0,-1.0290000000000001,14.171600000000002,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cc1cc(C)cc(C)c1,7.696990740740741,7.696990740740741,0.962268518518518,-3.025925925925926,0.4933927122974484,33.333333333333336,120.19499999999992,108.09899999999998,120.093900384,48,0.06283140441940657,-0.05636528474297494,0.06283140441940657,0.05636528474297494,1.0,1.3333333333333333,1.5555555555555556,2.0724721333868596,4.041188781584982,456.02507837352414,16.964101615137757,16.5,4.5,9.098076211353316,8.25,2.25,1.5,1.5,0.75,0.75,0.46875,0.46875,-0.78,10561.317991739437,1.0480546041026457,2.218872016802184,1.5627607309331124,73.38587546470053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.81761059808087,20.555676351887037,12.33682700553198,4.1122756685106605,16.44910267404264,0.0,0.0,0.0,0.0,20.555676351887037,0.0,34.81761059808087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.555676351887037,33.13945714913363,18.127256122989884,0.0,0.0,0.0,55.373286949967905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.44910267404264,88.72013888888888,0.0,0.0,0.0,-2.8868055555555543,0.0,-3.0055555555555538,0.0,-9.077777777777776,0.0,0.3333333333333333,9,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,2.611860000000001,40.65300000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
