solvent_smiles,pre_pro
CC(Cl)(Cl)Cl,0.0851
CN(C)C(=O)N(C)C,0.7234
CC(Cl)Cl,0.0426
C=C(Cl)Cl,0.0851
NCCN,0.0426
Clc1ccccc1Cl,0.1702
ClCCCl,0.0213
COCCOC,0.1489
OCCO,0.1702
Cc1cc(C)cc(C)c1,0.2128
Cc1ccc(C)cc1,0.1702
C1COCCO1,0.5745
CN1CCCC1=O,0.9574
CC(C)C(=O)C(C)C,0.1064
CC(C)CC(=O)CC(C)C,0.2553
NCCO,0.0213
COCCO,0.1277
CCCC(C)C,0.0426
CC1CCCO1,0.0638
CCC(C)(C)O,0.0426
CC(C)CO,0.0213
CC(C)(C)O,0.0851
CC(=O)C(C)(C)C,0.1064
CC(=O)C(C)C,0.0638
CC(C)CCO,0.0213
CC(=O)CC(C)C,0.0638
CC(=O)O,0.1489
CC(=O)OC(C)=O,0.0851
CC(C)=O,0.0213
CC#N,0.2766
CC(=O)c1ccccc1,0.1915
Nc1ccccc1,0.0851
COc1ccccc1,0.0426
c1ccccc1,0.1489
N#Cc1ccccc1,0.4468
FC(F)(F)c1ccccc1,0.5957
OCc1ccccc1,0.0426
Brc1ccccc1,0.2128
CCCCO,0.0213
CCC(C)O,0.0213
CCC(C)=O,0.0426
CCCC#N,0.1064
S=C=S,0.0638
Clc1ccccc1,0.1064
ClC(Cl)Cl,0.0851
C1CCC2CCCCC2C1,0.3617
C1CCCCC1,0.1277
OC1CCCCC1,0.1277
O=C1CCCCC1,0.1702
COC1CCCC1,0.0851
CCCCCCCCCC,0.234
ClCCl,0.0
CCOCC,0.0426
CCNCC,0.0213
CCOC(=O)OCC,0.2979
OCCOCCO,0.1915
CCOCCOCCOCC,0.383
COCCOCCOC,0.234
ICI,0.0638
CC(C)OC(C)C,0.0638
CS(C)=O,0.0
CCCCOCCCC,0.1277
CCCOCCC,0.0213
c1ccc(Oc2ccccc2)cc1,0.234
CCO,0.0
CCOC(C)=O,0.0426
CCOc1ccccc1,0.1277
Fc1ccccc1,0.1489
NC=O,0.0
